Компания,Сайт,Email,Имя ЛПР,Персонализация,Тип факта,Источник,Цитата-подтверждение,Способ,Примечание
ООО Белоярский Трубный Завод,https://btz96.ru/,sale@btz96.ru,Беляева Ольга Владимировна,Судя по описанию сайта: Официальный сайт производителя трубных изделий - Белоярский трубный завод ООО.,profile,https://btz96.ru/,Официальный сайт производителя трубных изделий - Белоярский трубный завод ООО,факты с сайта,
ООО Торговый Дом Тула-Сталь,https://td.tula-steel.ru/,sales_spb@td.tula-steel.ru,Стариков Дмитрий Анатольевич,"У вас в новостях: «Проволока для металлургии: виды, размеры, способы соединения и сферы применения». У вас направление «Металлопродукция».",news,https://td.tula-steel.ru/,"Проволока для металлургии: виды, размеры, способы соединения и сферы применения || Металлопродукция",факты с сайта,
ООО Производственный центр Этернопром,https://eternoprom.ru/,moscow@eternoprom.ru,Габриелян Артем Вадимович,"Заметил у вас направление «Надёжные поставки металлопроката по всей России — счёт от 15 минут, комплектация заявок любой сложности». Более 100 000 позиций.",product,https://eternoprom.ru/,"Надёжные поставки металлопроката по всей России — счёт от 15 минут, комплектация заявок любой сложности || более 100 000 позиций",факты с сайта,
СтальЭнерго-96 Юг,https://rostov-na-donu.stalenergo-96.ru/,rnd@steel-se.ru,Кондратьев Николай Алексеевич,Заметил у вас направление «СтальЭнерго-96 — надежный поставщик металлопроката по России».,product,https://rostov-na-donu.stalenergo-96.ru/,«СтальЭнерго-96» — надежный поставщик металлопроката по России,факты с сайта,
ООО ПО «Трубное решение»,https://truboproduct.ru/,nsk@truboproduct.ru,Клочкова Екатерина Валерьевна,"Заметил у вас направление «Крупнейшая металлобаза по металлопрокату в Новосибирске». Производство в Новосибирске, на рынке с 2015 года.",product,https://truboproduct.ru/,Крупнейшая металлобаза по металлопрокату в Новосибирске || офиса в Новосибирске | с 2015 год,факты с сайта,
ООО УВМ-СТАЛЬ,https://uvm-steel.ru/,msk@uvm-steel.ru,Жданов Антон Валерьевич,У вас в новостях: «ПОЧЕМУ НАС ВЫБИРАЮТ В КАЧЕСТВЕ ПОСТАВЩИКА?». У вас направление «Продажа оптом металлопроката в Москве».,news,https://uvm-steel.ru/,ПОЧЕМУ НАС ВЫБИРАЮТ В КАЧЕСТВЕ ПОСТАВЩИКА? || Продажа оптом металлопроката в Москве,факты с сайта,
ООО СОЛДРИМ-СПб,https://soldream-spb.com/,soldream-spb@soldream-spb.com,Чуева Яна Олеговна,Заметил у вас направление «Поставка металлообрабатывающего оборудования и станков с ЧПУ по РФ».,product,https://soldream-spb.com/,Поставка металлообрабатывающего оборудования и станков с ЧПУ по РФ,факты с сайта,
АО КАМАДИ,https://www.metrologi.ru/,meritel@metrologi.ru,Каневский Максим Юрьевич,У вас в новостях: «Новости об измерительном оборудовании». У вас направление «Каталог измерительного оборудования».,news,https://www.metrologi.ru/,Новости об измерительном оборудовании || Каталог измерительного оборудования,факты с сайта,
Онлайн-школа Тетрика,https://tetrika-school.ru/,hi@tetrika-school.ru,,Судя по описанию сайта: Онлайн-школа Тетрика — подготовка к ЕГЭ и ОГЭ с репетитором.,profile,https://tetrika-school.ru/,Онлайн-школа Тетрика — подготовка к ЕГЭ и ОГЭ с репетитором,факты с сайта,
ПЕНОПЛЭКС,https://www.penoplex.ru/,penoplex@penoplex.ru,,Судя по описанию сайта: ПЕНОПЛЭКС-официальный сайт производителя теплоизоляции.,profile,https://www.penoplex.ru/,ПЕНОПЛЭКС-официальный сайт производителя теплоизоляции,факты с сайта,
ООО Глобал Климат,https://globalclimat.com/,zakaz63@globalclimat.com,,"Судя по описанию сайта: Вентиляционное и вытяжное оборудование, системы вентиляции производства РФ.",profile,https://globalclimat.com/,"Вентиляционное и вытяжное оборудование, системы вентиляции производства РФ. Комплектующие российского производства.",факты с сайта,
"ЭТМ, компания",https://www.etm.ru/,8800@etm.ru,,Заметил у вас направление «ЭТМ — комплексный поставщик инженерных систем». На рынке с 1991 года.,product,https://www.etm.ru/,ЭТМ — комплексный поставщик инженерных систем || с 1991 год,факты с сайта,
ИнтелМед,https://intelmed.ru/,intelmed@intelmed.ru,,Заметил у вас направление «УЗИ аппарат Z20-RUS». На рынке с 2020 года.,product,https://intelmed.ru/,УЗИ аппарат Z20-RUS || с 2020 год,факты с сайта,
ООО Анэп,https://anepmetall.ru/,moskva@anepmetall.ru,,Заметил у вас направление «Металлопрокат в Москве и области».,product,https://anepmetall.ru/,Металлопрокат в Москве и области,факты с сайта,
НПК Специальная металлургия,https://nn.specstali.ru/,nn@specstali.ru,,Заметил у вас направление «Купить металлопрокат в Нижнем Новгороде».,product,https://nn.specstali.ru/,Купить металлопрокат в Нижнем Новгороде,факты с сайта,
Велунд Сталь,https://spb.gkws.ru/,spb@gkws.ru,,"Судя по описанию сайта: Металлопрокат: купить черные и цветные металлы, сплавы, кабели в Санкт-Петербурге оптом | Велунд сталь.",profile,https://spb.gkws.ru/,"Металлопрокат: купить черные и цветные металлы, сплавы, кабели в Санкт-Петербурге оптом | Велунд сталь",факты с сайта,
ООО Регион Сталь,https://regionstal.ru/,orders@regstal.ru,,Заметил у вас направление «Каталог товаров металлопроката». Более 10 000 позиций.,product,https://regionstal.ru/,Каталог товаров металлопроката || более 10 000 позиций,факты с сайта,
ООО ПТК,https://pt-k.ru/,pt-k@pt-k.ru,,Заметил у вас направление «Каталог металлопроката ООО Первая трубная компания».,product,https://pt-k.ru/,Каталог металлопроката ООО «Первая трубная компания»,факты с сайта,
ООО «Торговый дом ММК»,https://mmk.ru/ru/,infommk@mmk.ru,,Судя по описанию сайта: Официальный сайт ПАО Магнитогорский металлургический комбинат.,profile,https://mmk.ru/ru/,Официальный сайт ПАО Магнитогорский металлургический комбинат. ММК производит широкий сортамент металлопроката с преобладающей долей продукции с высокой добавленной стоимостью.,факты с сайта,
ГКС Альянс,https://gksalliance.ru/,welcome@gksalliance.ru,,"Увидел, что вы ищете человека на позицию «Специалист по продажам / Менеджер по продажам».",hiring,https://saratov.hh.ru/vacancy/134804087,Специалист по продажам / Менеджер по продажам,факты с сайта,
